service_id,date,exception_type
1,20190101,2
1,20190121,2
1,20190212,2
1,20190218,2
1,20190419,2
1,20190527,2
1,20190704,2
1,20190902,2
1,20191014,2
1,20191111,2
1,20191128,2
1,20191129,2
1,20191224,2
1,20191225,2
1,20200101,2
1,20200120,2
1,20200212,2
1,20200217,2
1,20200410,2
1,20200525,2
1,20200703,2
1,20200907,2
1,20201012,2
1,20201111,2
1,20201126,2
1,20201127,2
1,20201224,2
1,20201225,2
1,20210101,2
1,20210118,2
1,20210212,2
1,20210215,2
1,20210402,2
1,20210531,2
1,20210618,2
1,20210705,2
1,20210906,2
1,20211011,2
1,20211111,2
1,20211125,2
1,20211126,2
1,20211224,2
1,20211225,2
1,20211227,2
1,20211231,2
1,20220101,2
2,20190101,2
2,20190121,2
2,20190212,2
2,20190218,2
2,20190419,2
2,20190527,2
2,20190704,2
2,20190902,2
2,20191014,2
2,20191111,2
2,20191128,2
2,20191129,2
2,20191224,2
2,20191225,2
2,20200101,2
2,20200120,2
2,20200212,2
2,20200217,2
2,20200410,2
2,20200525,2
2,20200704,2
2,20200907,2
2,20201012,2
2,20201111,2
2,20201126,2
2,20201127,2
2,20201224,2
2,20201225,2
2,20210101,2
2,20210118,2
2,20210212,2
2,20210215,2
2,20210402,2
2,20210531,2
2,20210618,2
2,20210705,2
2,20210906,2
2,20211011,2
2,20211111,2
2,20211125,2
2,20211126,2
2,20211224,2
2,20211225,2
2,20211227,2
2,20211231,2
2,20220101,2
2,20230101,2
2,20230102,2
2,20230116,2
2,20230213,2
2,20230220,2
2,20230407,2
2,20230529,2
2,20230616,2
2,20230704,2
2,20230904,2
2,20231009,2
2,20231110,2
2,20231123,2
2,20231124,2
2,20231222,2
2,20231225,2
2,20231231,2
2,20240101,2
